1,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,226.00,-1.08,-0.00,0.00,-1.80,0.00,0.00,0.88,1.94,0.00,0.00,0.00,1.00,0
2,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,221.47,-1.08,-0.00,0.00,-6.73,0.00,0.00,0.88,0.55,0.00,0.00,0.00,1.00,0
3,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,220.76,-1.08,-0.00,0.00,-30.59,0.00,0.00,0.88,2.29,0.00,0.00,0.00,1.00,0
4,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,213.62,-1.08,-0.00,0.00,-1.49,0.00,0.00,0.88,1.40,0.00,0.00,0.00,1.00,0
5,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,210.30,-1.08,-0.00,0.00,-7.04,0.00,0.00,0.88,-1.68,0.00,0.00,0.00,1.00,0
6,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,212.91,-1.08,-0.00,0.00,-27.97,0.00,0.00,0.88,0.13,0.00,0.00,0.00,1.00,0
7,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,208.39,-1.08,-0.00,0.00,-80.00,0.00,0.00,0.88,-9.62,0.00,0.00,0.00,1.00,0
8,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,197.92,-1.08,-0.00,0.00,8.97,0.00,0.00,0.88,0.95,0.00,0.00,0.00,1.00,0
9,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,207.68,-1.08,-0.00,0.00,-12.27,0.00,0.00,0.88,0.54,0.00,0.00,0.00,1.00,0
10,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,200.54,-1.08,-0.00,0.00,-95.70,0.00,0.00,0.88,-10.37,0.00,0.00,0.00,1.00,0
11,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,192.69,-1.08,-0.00,0.00,11.59,0.00,0.00,0.88,0.34,0.00,0.00,0.00,1.00,0
12,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,187.45,-1.08,-0.00,0.00,-158.50,0.00,0.00,0.88,-4.86,0.00,0.00,0.00,1.00,0
13,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,182.22,-1.08,-0.00,0.00,32.52,0.00,0.00,0.88,3.61,0.00,0.00,0.00,1.00,0
14,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,178.90,-1.08,-0.00,0.00,26.98,0.00,0.00,0.88,4.57,0.00,0.00,0.00,1.00,0
15,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,182.22,-1.08,-0.00,0.00,-179.44,0.00,0.00,0.88,-0.35,0.00,0.00,0.00,1.00,0
